x,y,predicted_stage,stage_name,num_observations
8,20,3,bbch_51,1
9,20,3,bbch_51,1
11,20,3,bbch_51,1
10,20,3,bbch_51,1
12,20,3,bbch_51,1
13,20,3,bbch_51,1
14,20,3,bbch_51,1
16,20,0,bbch_00,1
15,20,0,bbch_00,1
18,20,3,bbch_51,1
20,20,3,bbch_51,1
17,20,3,bbch_51,1
19,20,3,bbch_51,1
21,20,3,bbch_51,1
22,20,3,bbch_51,1
23,20,3,bbch_51,1
24,20,0,bbch_00,1
25,20,0,bbch_00,1
26,20,0,bbch_00,1
28,20,0,bbch_00,1
27,20,0,bbch_00,1
30,20,0,bbch_00,1
29,20,0,bbch_00,1
31,20,0,bbch_00,1
